occupation_code	occupation_text
4610	Personal Care Aides
4620	Recreation and Fitness Workers
4640	Residential Advisors
4650	Personal Care and Service Workers, All Other
4698	Sales and Office Occupations
4699	Sales and Related Occupations
4700	First-Line Supervisors of Retail Sales Workers
4710	First-Line Supervisors of Non-Retail Sales Workers
4720	Cashiers
4740	Counter and Rental Clerks
4750	Parts Salespersons
4760	Retail Salespersons
4800	Advertising Sales Agents
4810	Insurance Sales Agents
4820	Securities, Commodities, and Financial Services Sales Agents
4830	Travel Agents
4840	Sales Representatives, Services, All Other
4850	Sales Representatives, Wholesale and Manufacturing
4900	Models, Demonstrators, and Product Promoters
4920	Real Estate Brokers and Sales Agents
4930	Sales Engineers
4940	Telemarketers
4950	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers
4965	Sales and Related Workers, All Other
4999	Office and Administrative Support Occupations
5000	First-Line Supervisors of Office and Administrative Support Workers
5010	Switchboard Operators, Including Answering Service
5020	Telephone Operators
5030	Communications Equipment Operators, All Other
5100	Bill and Account Collectors
5110	Billing and Posting Clerks
5120	Bookkeeping, Accounting, and Auditing Clerks
5130	Gaming Cage Workers
5140	Payroll and Timekeeping Clerks
5150	Procurement Clerks
5160	Tellers
5165	Financial Clerks, All Other
5200	Brokerage Clerks
5210	Correspondence Clerks
5220	Court, Municipal, and License Clerks
5230	Credit Authorizers, Checkers, and Clerks
5240	Customer Service Representatives
5250	Eligibility Interviewers, Government Programs
5260	File Clerks
5300	Hotel, Motel, and Resort Desk Clerks
5310	Interviewers, Except Eligibility and Loan
5320	Library Assistants, Clerical
5330	Loan Interviewers and Clerks
5340	New Accounts Clerks
5350	Order Clerks
5360	Human Resources Assistants, Except Payroll and Timekeeping
5400	Receptionists and Information Clerks
5410	Reservation and Transportation Ticket Agents and Travel Clerks
5420	Information and Record Clerks, All Other
5500	Cargo and Freight Agents
5510	Couriers and Messengers
5520	Dispatchers
5530	Meter Readers, Utilities
5540	Postal Service Clerks
5550	Postal Service Mail Carriers
5560	Postal Service Mail Sorters, Processors, and Processing Machine Operators
5600	Production, Planning, and Expediting Clerks
5610	Shipping, Receiving, and Traffic Clerks
5620	Stock Clerks and Order Fillers
5630	Weighers, Measurers, Checkers, and Samplers, Recordkeeping
5700	Secretaries and Administrative Assistants
5800	Computer Operators
5810	Data Entry Keyers
5820	Word Processors and Typists
5830	Desktop Publishers
5840	Insurance Claims and Policy Processing Clerks
5850	Mail Clerks and Mail Machine Operators, Except Postal Service
5860	Office Clerks, General
5900	Office Machine Operators, Except Computer
5910	Proofreaders and Copy Markers
5920	Statistical Assistants
5940	Office and Administrative Support Workers, All Other
5998	Natural Resources, Construction, and Maintenance Occupations
5999	Farming, Fishing, and Forestry Occupations
6005	First-Line Supervisors of Farming, Fishing, and Forestry Workers
6010	Agricultural Inspectors
6020	Animal Breeders
6040	Graders and Sorters, Agricultural Products
6050	Miscellaneous Agricultural Workers
6100	Fishers and Related Fishing Workers
6110	Hunters and Trappers
6120	Forest and Conservation Workers
6130	Logging Workers
6199	Construction and Extraction Occupations
6200	First-Line Supervisors of Construction Trades and Extraction Workers
6210	Boilermakers
6220	Brickmasons, Blockmasons, and Stonemasons
6230	Carpenters
6240	Carpet, Floor, and Tile Installers and Finishers
6250	Cement Masons, Concrete Finishers, and Terrazzo Workers
6260	Construction Laborers
6300	Paving, Surfacing, and Tamping Equipment Operators
6310	Pile-Driver Operators
6320	Operating Engineers and Other Construction Equipment Operators
6330	Drywall Installers, Ceiling Tile Installers, and Tapers
6355	Electricians
6360	Glaziers
6400	Insulation Workers
6420	Painters, Construction and Maintenance
6430	Paperhangers
6440	Pipelayers, Plumbers, Pipefitters, and Steamfitters
6460	Plasterers and Stucco Masons
6500	Reinforcing Iron and Rebar Workers
6515	Roofers
6520	Sheet Metal Workers
6530	Structural Iron and Steel Workers
6540	Solar Photovoltaic Installers
6600	Helpers, Construction Trades
6660	Construction and Building Inspectors
6700	Elevator Installers and Repairers
6710	Fence Erectors
6720	Hazardous Materials Removal Workers
6730	Highway Maintenance Workers
6740	Rail-Track Laying and Maintenance Equipment Operators
6750	Septic Tank Servicers and Sewer Pipe Cleaners
6765	Miscellaneous Construction and Related Workers
6800	Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining
6820	Earth Drillers, Except Oil and Gas
6830	Explosives Workers, Ordnance Handling Experts, and Blasters
6840	Mining Machine Operators
6910	Roof Bolters, Mining
6920	Roustabouts, Oil and Gas
6930	Helpers--Extraction Workers
6940	Other Extraction Workers
6999	Installation, Maintenance, and Repair Occupations
7000	First-Line Supervisors of Mechanics, Installers, and Repairers
7010	Computer, Automated Teller, and Office Machine Repairers
7020	Radio and Telecommunications Equipment Installers and Repairers
7030	Avionics Technicians
7040	Electric Motor, Power Tool, and Related Repairers
7050	Electrical and Electronics Installers and Repairers, Transportation Equipment
7100	Electrical and Electronics Repairers, Industrial and Utility
7110	Electronic Equipment Installers and Repairers, Motor Vehicles
7120	Electronic Home Entertainment Equipment Installers and Repairers
7130	Security and Fire Alarm Systems Installers
7140	Aircraft Mechanics and Service Technicians
7150	Automotive Body and Related Repairers
7160	Automotive Glass Installers and Repairers
7200	Automotive Service Technicians and Mechanics
7210	Bus and Truck Mechanics and Diesel Engine Specialists
7220	Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
7240	Small Engine Mechanics
7260	Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers
7300	Control and Valve Installers and Repairers
7315	Heating, Air Conditioning, and Refrigeration Mechanics and Installers
7320	Home Appliance Repairers
7330	Industrial and Refractory Machinery Mechanics
7340	Maintenance and Repair Workers, General
7350	Maintenance Workers, Machinery
7360	Millwrights
7410	Electrical Power-Line Installers and Repairers
7420	Telecommunications Line Installers and Repairers
7430	Precision Instrument and Equipment Repairers
7440	Wind Turbine Service Technicians
7510	Coin, Vending, and Amusement Machine Servicers and Repairers
7520	Commercial Divers
7540	Locksmiths and Safe Repairers
7550	Manufactured Building and Mobile Home Installers
7560	Riggers
7600	Signal and Track Switch Repairers
7610	Helpers--Installation, Maintenance, and Repair Workers
7630	Other Installation, Maintenance, and Repair Workers
7698	Production, Transportation, and Material Moving Occupations
7699	Production Occupations
7700	First-Line Supervisors of Production and Operating Workers
7710	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
7720	Electrical, Electronics, and Electromechanical Assemblers
7730	Engine and Other Machine Assemblers
7740	Structural Metal Fabricators and Fitters
7750	Miscellaneous Assemblers and Fabricators
7800	Bakers
7810	Butchers and Other Meat, Poultry, and Fish Processing Workers
7830	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders
7840	Food Batchmakers
7850	Food Cooking Machine Operators and Tenders
7855	Food Processing Workers, All Other
7900	Computer Control Programmers and Operators
7920	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic
7930	Forging Machine Setters, Operators, and Tenders, Metal and Plastic
7940	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic
7950	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic
7960	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic
8000	Grinding, Lapping, Polishing, Buffing Machine Tool Setters, Operators and Tenders, Metal and Plastic
8010	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic
8020	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic
8030	Machinists
8040	Metal Furnace Operators, Tenders, Pourers, and Casters
8060	Model Makers and Patternmakers, Metal and Plastic
8100	Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic
8120	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic
8130	Tool and Die Makers
8140	Welding, Soldering, and Brazing Workers
8150	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic
8160	Layout Workers, Metal and Plastic
8200	Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic
8210	Tool Grinders, Filers, and Sharpeners
8220	Metal Workers and Plastic Workers, All Other
8240	Job Printers
8250	Prepress Technicians and Workers
8255	Printing Press Operators
8256	Print Binding and Finishing Workers
8260	Printing Machine Operators
8300	Laundry and Dry-Cleaning Workers
8310	Pressers, Textile, Garment, and Related Materials
8320	Sewing Machine Operators
8330	Shoe and Leather Workers and Repairers
8340	Shoe Machine Operators and Tenders
8350	Tailors, Dressmakers, and Sewers
8360	Textile Bleaching and Dyeing Machine Operators and Tenders
8400	Textile Cutting Machine Setters, Operators, and Tenders
8410	Textile Knitting and Weaving Machine Setters, Operators, and Tenders
8420	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders
8430	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers
8440	Fabric and Apparel Patternmakers
8450	Upholsterers
8460	Textile, Apparel, and Furnishings Workers, All Other
8500	Cabinetmakers and Bench Carpenters
8510	Furniture Finishers
8520	Model Makers and Patternmakers, Wood
8530	Sawing Machine Setters, Operators, and Tenders, Wood
8540	Woodworking Machine Setters, Operators, and Tenders, Except Sawing
8550	Woodworkers, All Other
8600	Power Plant Operators, Distributors, and Dispatchers
8610	Stationary Engineers and Boiler Operators
8620	Water and Wastewater Treatment Plant and System Operators
8630	Miscellaneous Plant and System Operators
8640	Chemical Processing Machine Setters, Operators, and Tenders
8650	Crushing, Grinding, Polishing, Mixing, and Blending Workers
8710	Cutting Workers
8720	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders
8730	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders
8740	Inspectors, Testers, Sorters, Samplers, and Weighers
8750	Jewelers and Precious Stone and Metal Workers
8760	Medical, Dental, and Ophthalmic Laboratory Technicians
8800	Packaging and Filling Machine Operators and Tenders
8810	Painting Workers
8830	Photographic Process Workers and Processing Machine Operators
8840	Semiconductor Processors
8850	Adhesive Bonding Machine Operators and Tenders
8860	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders
8900	Cooling and Freezing Equipment Operators and Tenders
8910	Etchers and Engravers
8920	Molders, Shapers, and Casters, Except Metal and Plastic
8930	Paper Goods Machine Setters, Operators, and Tenders
8940	Tire Builders
8950	Helpers--Production Workers
8965	Production Workers, All Other
8999	Transportation and Material Moving Occupations
9000	Supervisors of Transportation and Material Moving Workers
9030	Aircraft Pilots and Flight Engineers
9040	Air Traffic Controllers and Airfield Operations Specialists
9050	Flight Attendants
9110	Ambulance Drivers and Attendants, Except Emergency Medical Technicians
9120	Bus Drivers
9130	Driver/Sales Workers and Truck Drivers
9140	Taxi Drivers and Chauffeurs
9150	Motor Vehicle Operators, All Other
9200	Locomotive Engineers and Operators
9230	Railroad Brake, Signal, and Switch Operators
9240	Railroad Conductors and Yardmasters
9260	Subway, Streetcar, and Other Rail Transportation Workers
9300	Sailors and Marine Oilers
9310	Ship and Boat Captains and Operators
9330	Ship Engineers
9340	Bridge and Lock Tenders
9350	Parking Lot Attendants
9360	Automotive and Watercraft Service Attendants
9410	Transportation Inspectors
9415	Transportation Attendants, Except Flight Attendants
9420	Other Transportation Workers
9500	Conveyor Operators and Tenders
9510	Crane and Tower Operators
9520	Dredge, Excavating, and Loading Machine Operators
9560	Hoist and Winch Operators
9600	Industrial Truck and Tractor Operators
9610	Cleaners of Vehicles and Equipment
9620	Laborers and Freight, Stock, and Material Movers, Hand
9630	Machine Feeders and Offbearers
9640	Packers and Packagers, Hand
9650	Pumping Station Operators
9720	Refuse and Recyclable Material Collectors
9730	Mine Shuttle Car Operators
9740	Tank Car, Truck, and Ship Loaders
9750	Material Moving Workers, All Other
